Date,Price,Open,High,Low,Vol.,Change %
11/20/2020,"16,423.40","15,367.80","16,423.40","15,305.70",9.77M,6.87%
11/19/2020,"15,367.80","15,429.90","15,429.90","15,243.60",1.96M,0.61%
11/18/2020,"15,274.70","15,212.60","15,460.90","15,181.50",1.79M,0.82%
11/17/2020,"15,150.50","15,088.40","15,243.60","15,026.30",2.94M,0.41%
11/16/2020,"15,088.40","15,398.90","15,429.90","15,026.30",3.83M,-1.82%
11/13/2020,"15,367.80","15,305.70","15,367.80","15,150.50",1.65M,1.43%
11/12/2020,"15,150.50","15,150.50","15,305.70","15,088.40",1.95M,0.00%
11/11/2020,"15,150.50","15,212.60","15,398.90","14,871.10",4.08M,-0.20%
11/10/2020,"15,181.50","15,523.00","15,523.00","15,181.50",2.46M,-1.61%
11/9/2020,"15,429.90","15,336.80","15,771.40","15,212.60",2.91M,1.02%
11/6/2020,"15,274.70","15,523.00","15,554.10","15,274.70",1.67M,-1.40%
11/5/2020,"15,492.00","15,088.40","15,616.20","15,088.40",5.65M,2.67%
11/4/2020,"15,088.40","15,119.40","15,150.50","15,026.30",1.57M,-0.21%
11/3/2020,"15,119.40","15,150.50","15,212.60","15,088.40",910.81K,-0.20%
11/2/2020,"15,150.50","15,274.70","15,305.70","15,088.40",639.98K,-2.40%
10/30/2020,"15,523.00","14,902.10","15,523.00","14,809.00",3.94M,4.38%
10/29/2020,"14,871.10","14,902.10","14,933.20","14,777.90",1.50M,-0.21%
10/28/2020,"14,902.10","15,088.40","15,150.50","14,840.00",1.20M,-1.23%
10/27/2020,"15,088.40","15,274.70","15,336.80","15,088.40",742.90K,-1.22%
10/26/2020,"15,274.70","15,181.50","15,367.80","15,150.50",1.10M,0.82%
10/23/2020,"15,150.50","14,871.10","15,150.50","14,840.00",2.00M,1.88%
10/22/2020,"14,871.10","14,871.10","14,902.10","14,809.00",2.22M,0.00%
10/21/2020,"14,871.10","14,902.10","14,902.10","14,809.00",594.81K,0.21%
10/20/2020,"14,840.00","14,809.00","15,088.40","14,746.90",1.31M,0.84%
10/19/2020,"14,715.80","14,746.90","14,777.90","14,653.80",1.25M,-0.21%
10/16/2020,"14,746.90","14,840.00","14,840.00","14,653.80",1.10M,-0.84%
10/15/2020,"14,871.10","14,871.10","14,871.10","14,653.80",872.27K,-0.21%
10/14/2020,"14,902.10","14,715.80","14,933.20","14,684.80",421.63K,0.63%
10/13/2020,"14,809.00","14,902.10","14,964.20","14,653.80",1.37M,-1.04%
10/12/2020,"14,964.20","15,088.40","15,088.40","14,902.10",1.11M,-0.62%
10/9/2020,"15,057.30","15,057.30","15,088.40","14,871.10",709.01K,0.00%
