"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2016","4,909.1","4,932.8","4,962.5","4,903.1","10.64M","-0.48%"
"12/19/2016","4,932.8","4,968.5","5,010.1","4,915.0","19.70M","-0.72%"
"12/16/2016","4,968.5","4,897.2","5,004.1","4,897.2","29.90M","1.21%"
"12/15/2016","4,909.1","4,944.7","4,956.6","4,885.3","14.84M","-0.84%"
"12/14/2016","4,950.7","4,819.9","4,968.5","4,819.9","21.35M","2.71%"
"12/13/2016","4,819.9","4,837.7","4,855.6","4,790.2","21.78M","-0.37%"
"12/12/2016","4,837.7","4,855.6","4,861.5","4,814.0","19.56M","-0.49%"
"12/09/2016","4,861.5","4,861.5","4,915.0","4,849.6","20.80M","0.00%"
"12/08/2016","4,861.5","4,867.4","4,920.9","4,855.6","15.50M","0.12%"
"12/07/2016","4,855.6","4,861.5","4,920.9","4,849.6","24.22M","-0.12%"
"12/06/2016","4,861.5","5,051.7","5,063.6","4,825.8","40.18M","-3.54%"
"12/05/2016","5,039.8","5,027.9","5,117.1","5,016.0","49.47M","0.47%"
"12/02/2016","5,016.0","4,980.4","5,033.9","4,968.5","38.66M","1.08%"
"12/01/2016","4,962.5","5,027.9","5,051.7","4,962.5","35.60M","-0.83%"
"11/30/2016","5,004.1","4,784.2","5,051.7","4,778.3","49.77M","4.34%"
"11/29/2016","4,796.1","4,837.7","4,861.5","4,778.3","23.65M","-0.86%"
"11/28/2016","4,837.7","4,956.6","4,962.5","4,814.0","24.76M","-2.51%"
"11/25/2016","4,962.5","4,992.3","5,016.0","4,944.7","26.26M","0.12%"
"11/24/2016","4,956.6","4,968.5","5,022.0","4,944.7","20.45M","0.12%"
"11/23/2016","4,950.7","4,980.4","5,027.9","4,944.7","17.88M","-0.60%"
"11/22/2016","4,980.4","5,039.8","5,045.7","4,968.5","24.43M","-0.24%"
"11/21/2016","4,992.3","4,920.9","4,992.3","4,885.3","26.78M","1.69%"
"11/18/2016","4,909.1","4,956.6","4,998.2","4,897.2","25.14M","-1.20%"
"11/17/2016","4,968.5","4,992.3","5,045.7","4,956.6","24.76M","-0.71%"
"11/16/2016","5,004.1","4,992.3","5,069.5","4,980.4","34.25M","0.24%"
"11/15/2016","4,992.3","4,897.2","5,027.9","4,897.2","37.20M","1.94%"
"11/14/2016","4,897.2","4,849.6","4,920.9","4,843.7","32.34M","0.61%"
"11/11/2016","4,867.4","4,897.2","4,920.9","4,849.6","27.63M","-1.33%"
