Date,Price,Open,High,Low,Vol.,Change %,Ticker
5/21/2020,"12,757.40","12,902.40","12,931.40","12,757.40",710.47K,-0.90%,KDH
5/20/2020,"12,873.40","12,931.40","12,960.40","12,757.40",843.40K,-0.89%,KDH
5/19/2020,"12,989.40","12,757.40","12,989.40","12,641.50",2.33M,2.75%,KDH
5/18/2020,"12,641.50","12,757.40","12,815.40","12,583.50",452.98K,-0.91%,KDH
5/15/2020,"12,757.40","13,221.30","13,221.30","12,757.40",1.48M,-4.14%,KDH
5/14/2020,"13,308.30","13,337.30","13,366.30","13,047.40",916.13K,-0.22%,KDH
5/13/2020,"13,337.30","12,931.40","13,366.30","12,728.40",1.78M,2.00%,KDH
5/12/2020,"13,076.40","12,409.50","13,076.40","12,380.50",2.41M,5.62%,KDH
5/11/2020,"12,380.50","12,380.50","12,409.50","12,322.50",1.30M,0.00%,KDH
5/8/2020,"12,380.50","12,322.50","12,409.50","12,293.50",1.74M,0.95%,KDH
5/7/2020,"12,264.50","12,235.50","12,322.50","12,206.50",1.85M,0.71%,KDH
5/6/2020,"12,177.60","12,206.50","12,264.50","12,003.60",1.73M,0.00%,KDH
5/5/2020,"12,177.60","12,148.60","12,235.50","12,119.60",1.61M,0.48%,KDH
5/4/2020,"12,119.60","12,119.60","12,177.60","12,061.60",900.78K,-0.24%,KDH
4/29/2020,"12,148.60","11,916.60","12,177.60","11,916.60",1.48M,1.95%,KDH
4/28/2020,"11,916.60","11,916.60","11,974.60","11,858.60",692.29K,0.24%,KDH
4/27/2020,"11,887.60","11,916.60","11,945.60","11,858.60",886.10K,0.00%,KDH
4/24/2020,"11,887.60","11,887.60","11,945.60","11,829.60",639.97K,0.00%,KDH
4/23/2020,"11,887.60","11,829.60","11,916.60","11,742.60",753.96K,0.24%,KDH
4/22/2020,"11,858.60","11,713.60","11,887.60","11,481.70",960.27K,0.25%,KDH
4/21/2020,"11,829.60","12,061.60","12,061.60","11,423.70",1.17M,-2.39%,KDH
4/20/2020,"12,119.60","12,119.60","12,177.60","12,061.60",946.44K,0.00%,KDH
4/17/2020,"12,119.60","11,974.60","12,177.60","11,974.60",1.61M,1.46%,KDH
4/16/2020,"11,945.60","12,003.60","12,003.60","11,887.60",875.84K,-0.24%,KDH
4/15/2020,"11,974.60","11,829.60","11,974.60","11,829.60",946.10K,2.23%,KDH
4/14/2020,"11,713.60","11,655.70","11,945.60","11,655.70",849.12K,0.25%,KDH
4/13/2020,"11,684.70","11,365.70","11,829.60","11,365.70",1.24M,1.26%,KDH
4/10/2020,"11,539.70","11,655.70","11,655.70","11,307.70",396.26K,-0.50%,KDH
