Date,Price,Open,High,Low,Vol.,Change %,Ticker,WCP,WAP,VWAP,ZLMA,FWMA,Decay,SMA,Bollinger_Upper,Bollinger_Lower,Avg_Gain,Avg_Loss,RSI,MACD,MACD_Signal,MACD_Hist
2016-03-22,9078.7,9134.6,9153.3,9078.7,2550000.0,-0.0102,FPT,9097.35,9103.566666666668,9068.818261550508,9124.479192955741,9107.940378317335,9070.92846149743,9025.564999999999,9208.339411142268,8842.79058885773,31.110286886709158,23.754598998763406,56.70345683694699,77.3210313371601,76.41369276875142,0.9073385684086759
2016-03-23,9078.7,9078.7,9134.6,9041.4,2320000.0,0.0,FPT,9083.35,9084.9,9075.993844458439,9125.29895856617,9096.774568040655,9075.00441741564,9033.955,9209.842661217048,8858.067338782952,28.888123537658505,22.057841927423162,56.70345683694699,72.68666299515644,75.66828681403243,-2.9816238188759883
2016-03-24,9022.8,9097.3,9116.0,9022.8,3360000.0,-0.0062,FPT,9046.099999999999,9053.866666666667,9081.571212593517,9115.40675800177,9068.52217955957,9075.503673592153,9041.414999999999,9200.521654397815,8882.308345602183,26.82468614211147,24.475138932607326,52.290014835413174,63.768150328400225,73.288259516906,-9.52010918850577
2016-03-25,8929.6,8985.5,9022.8,8873.6,4580000.0,-0.0103,FPT,8938.900000000001,8942.0,9076.710457905441,9089.562060868539,9015.459570863919,9062.613513105065,9043.28,9195.763753750609,8890.796246249392,24.908637131960653,29.384057580278153,45.878432197887726,48.61925122677167,68.35445785887913,-19.735206632107463
2016-03-28,8948.2,9004.1,9004.1,8929.6,1620000.0,0.0021,FPT,8957.525000000001,8960.633333333333,9079.254093611069,9070.328990781076,8989.769683794466,9060.918929234747,9045.145,9191.604859419003,8898.685140580998,24.45802019396349,27.285196324544,47.268070753226866,37.68015077704331,62.219596442511964,-24.539445665468655
2016-03-29,8855.0,8948.2,8948.2,8836.4,2950000.0,-0.0104,FPT,8873.65,8879.866666666667,9076.810025217435,9036.570137573144,8938.290750988142,9049.529410968757,9038.62,9206.351559971605,8870.888440028397,22.711018751537527,31.993396587076624,41.51587876583432,21.24546921925503,54.02477099786058,-32.77930177860555
2016-03-30,8855.0,8855.0,8929.6,8799.1,2410000.0,0.0,FPT,8859.675,8861.233333333334,9069.54066249348,9007.288444697053,8906.471564088086,9037.207152379902,9027.435000000001,9212.818656521404,8842.051343478599,21.088803126427702,29.70815397371401,41.51587876583432,8.127180600256906,44.845252918339845,-36.71807231808294
2016-03-31,8780.4,8855.0,8948.2,8780.4,2520000.0,-0.0084,FPT,8822.349999999999,8836.333333333334,9057.085067131831,8968.404442640234,8858.310282326369,9019.265304808867,9011.59,9224.028284784283,8799.151715215718,19.58246004596858,32.914714404163036,37.301931486942124,-8.194295447110562,34.23734324524977,-42.43163869236033
2016-04-01,8724.5,8780.4,8799.1,8705.9,2140000.0,-0.0064,FPT,8738.5,8743.166666666666,9042.205728323075,8924.728382519888,8807.19028232637,8999.422001688423,8991.085000000001,9230.930443874493,8751.239556125509,18.18371289982797,34.556520518151366,34.47787717531996,-25.34765365576459,22.3203438650469,-47.66799752081149
2016-04-04,8724.5,8705.9,8761.8,8705.9,1500000.0,0.0,FPT,8729.175,8730.733333333332,9031.13592678611,8887.15928675226,8775.596843591191,8986.703818330405,8974.305,9239.444823886399,8709.165176113602,16.884876264125975,32.0881976239977,34.47787717531996,-38.498032267607414,10.156668638516038,-48.65470090612345
