Date,Price,Open,High,Low,Vol.,Change %,Ticker
5/19/2020,"9,063.70","9,150.40","9,306.30","9,029.10",52380000.0,4.18%,HPG
5/18/2020,"8,699.80","8,474.50","8,699.80","8,318.50",37510000.0,6.81%,HPG
5/15/2020,"8,145.20","8,301.20","8,335.80","8,110.60",22050000.0,-1.88%,HPG
5/14/2020,"8,301.20","8,249.20","8,353.20","8,214.50",18120000.0,-0.62%,HPG
5/13/2020,"8,353.20","8,127.90","8,387.80","8,075.90",26710000.0,1.90%,HPG
5/12/2020,"8,197.20","8,197.20","8,283.90","8,110.60",29270000.0,-1.25%,HPG
5/11/2020,"8,301.20","8,214.50","8,353.20","8,075.90",20070000.0,2.35%,HPG
5/8/2020,"8,110.60","8,249.20","8,370.50","8,110.60",34710000.0,-0.85%,HPG
5/7/2020,"8,179.90","7,729.30","8,179.90","7,729.30",40960000.0,6.31%,HPG
5/6/2020,"7,694.60","7,469.30","7,694.60","7,452.00",21190000.0,3.74%,HPG
5/5/2020,"7,417.30","7,417.30","7,504.00","7,382.70",16390000.0,1.90%,HPG
5/4/2020,"7,278.70","7,452.00","7,469.30","7,278.70",13440000.0,-2.33%,HPG
4/29/2020,"7,452.00","7,417.30","7,521.30","7,278.70",20700000.0,0.47%,HPG
4/28/2020,"7,417.30","7,625.30","7,660.00","7,365.40",21370000.0,-2.51%,HPG
4/27/2020,"7,608.00","7,712.00","7,833.30","7,573.30",18450000.0,-0.68%,HPG
4/24/2020,"7,660.00","7,521.30","7,694.60","7,382.70",23080000.0,2.31%,HPG
4/23/2020,"7,486.70","7,382.70","7,608.00","7,382.70",23200000.0,3.85%,HPG
4/22/2020,"7,209.40","7,105.40","7,382.70","7,036.10",30690000.0,2.97%,HPG
4/21/2020,"7,001.40","7,192.00","7,365.40","6,984.10",33180000.0,-4.72%,HPG
4/20/2020,"7,348.00","7,278.70","7,452.00","7,122.70",26190000.0,2.42%,HPG
4/17/2020,"7,174.70","7,018.70","7,209.40","7,001.40",24520000.0,2.22%,HPG
4/16/2020,"7,018.70","6,914.80","7,070.70","6,845.40",18530000.0,0.75%,HPG
4/15/2020,"6,966.80","6,932.10","7,036.10","6,914.80",16570000.0,0.75%,HPG
4/14/2020,"6,914.80","6,689.50","6,914.80","6,654.80",24310000.0,3.10%,HPG
4/13/2020,"6,706.80","6,516.20","6,758.80","6,481.50",25130000.0,2.93%,HPG
4/10/2020,"6,516.20","6,412.20","6,585.50","6,342.90",15450000.0,1.35%,HPG
4/9/2020,"6,429.50","6,516.20","6,585.50","6,429.50",19830000.0,-0.80%,HPG
4/8/2020,"6,481.50","6,377.50","6,516.20","6,342.90",14200000.0,-1.58%,HPG
4/7/2020,"6,585.50","6,602.80","6,620.20","6,325.50",21280000.0,0.80%,HPG
4/6/2020,"6,533.50","6,290.90","6,533.50","6,204.20",28380000.0,6.80%,HPG
4/3/2020,"6,117.60","5,978.90","6,134.90","5,961.60",18080000.0,2.32%,HPG
4/1/2020,"5,978.90","5,788.30","6,065.60","5,771.00",13510000.0,2.37%,HPG
3/31/2020,"5,840.30","5,667.00","6,013.60","5,285.70",31030000.0,3.06%,HPG
3/30/2020,"5,667.00","5,303.10","5,788.30","5,285.70",30220000.0,0.93%,HPG
3/27/2020,"5,615.00","5,857.60","5,892.30","5,476.40",37370000.0,-4.42%,HPG
3/26/2020,"5,875.00","6,082.90","6,100.20","5,857.60",23670000.0,-4.78%,HPG
3/25/2020,"6,169.60","6,186.90","6,186.90","6,030.90",21570000.0,4.09%,HPG
3/24/2020,"5,926.90","5,892.30","6,013.60","5,771.00",38450000.0,-1.16%,HPG
3/23/2020,"5,996.30","6,030.90","6,238.90","5,996.30",35990000.0,-6.99%,HPG
3/20/2020,"6,446.80","6,672.10","6,689.50","6,446.80",37250000.0,-2.87%,HPG
3/19/2020,"6,637.50","6,724.10","6,758.80","6,550.80",21610000.0,-2.79%,HPG
3/18/2020,"6,828.10","6,724.10","6,966.80","6,706.80",28900000.0,2.60%,HPG
3/17/2020,"6,654.80","6,446.80","6,689.50","6,446.80",16830000.0,0.52%,HPG
3/16/2020,"6,620.20","6,654.80","6,880.10","6,568.20",25810000.0,0.26%,HPG
3/13/2020,"6,602.80","6,256.20","6,828.10","6,221.60",35680000.0,-1.04%,HPG
3/12/2020,"6,672.10","6,776.10","6,862.80","6,637.50",36250000.0,-6.33%,HPG
3/11/2020,"7,122.70","7,521.30","7,556.00","6,984.10",23710000.0,-5.08%,HPG
3/10/2020,"7,504.00","7,105.40","7,538.70","7,105.40",22620000.0,3.84%,HPG
3/9/2020,"7,226.70","7,226.70","7,469.30","7,226.70",46060000.0,-6.92%,HPG
3/6/2020,"7,763.90","7,746.60","7,781.30","7,712.00",8440000.0,0.22%,HPG
3/5/2020,"7,746.60","7,833.30","7,850.60","7,746.60",7210000.0,0.00%,HPG
3/4/2020,"7,746.60","7,763.90","7,833.30","7,746.60",8190000.0,0.22%,HPG
3/3/2020,"7,729.30","7,902.60","7,902.60","7,729.30",12260000.0,0.00%,HPG
3/2/2020,"7,729.30","7,694.60","7,798.60","7,694.60",11000000.0,-0.22%,HPG
2/28/2020,"7,746.60","7,815.90","7,902.60","7,712.00",18300000.0,-2.61%,HPG
2/27/2020,"7,954.60","7,867.90","7,989.20","7,867.90",9220000.0,0.88%,HPG
2/26/2020,"7,885.30","7,885.30","7,971.90","7,867.90",12520000.0,-1.52%,HPG
2/25/2020,"8,006.60","7,833.30","8,006.60","7,833.30",14740000.0,1.76%,HPG
2/24/2020,"7,867.90","7,885.30","8,023.90","7,867.90",35970000.0,-3.61%,HPG
2/21/2020,"8,162.50","8,231.90","8,249.20","8,145.20",12550000.0,-0.84%,HPG
2/20/2020,"8,231.90","8,127.90","8,231.90","8,058.60",14530000.0,2.15%,HPG
2/19/2020,"8,058.60","8,075.90","8,127.90","8,006.60",15240000.0,-0.21%,HPG
2/18/2020,"8,075.90","8,266.50","8,266.50","8,075.90",20730000.0,-1.89%,HPG
2/17/2020,"8,231.90","8,214.50","8,266.50","8,179.90",7550000.0,0.21%,HPG
2/14/2020,"8,214.50","8,179.90","8,231.90","8,093.20",14040000.0,0.00%,HPG
2/13/2020,"8,214.50","8,231.90","8,283.90","8,179.90",14630000.0,-0.42%,HPG
2/12/2020,"8,249.20","8,145.20","8,370.50","8,127.90",26640000.0,0.85%,HPG
2/11/2020,"8,179.90","8,474.50","8,526.50","8,127.90",34890000.0,-3.08%,HPG
2/10/2020,"8,439.80","8,318.50","8,543.80","8,301.20",13330000.0,0.00%,HPG
2/7/2020,"8,439.80","8,734.40","8,769.10","8,387.80",22570000.0,-3.37%,HPG
2/6/2020,"8,734.40","8,439.80","8,734.40","8,422.50",25610000.0,3.07%,HPG
2/5/2020,"8,474.50","8,613.10","8,665.10","8,387.80",19290000.0,-0.61%,HPG
2/4/2020,"8,526.50","8,543.80","8,595.80","8,353.20",22480000.0,0.20%,HPG
2/3/2020,"8,509.10","8,075.90","8,595.80","7,867.90",33580000.0,1.87%,HPG
1/31/2020,"8,353.20","8,665.10","8,769.10","8,353.20",30570000.0,-4.74%,HPG
1/30/2020,"8,769.10","8,855.80","8,977.10","8,647.80",36220000.0,-3.80%,HPG
1/22/2020,"9,115.70","8,959.70","9,150.40","8,959.70",24800000.0,1.74%,HPG
1/21/2020,"8,959.70","8,925.10","9,011.70","8,855.80",16430000.0,1.37%,HPG
1/20/2020,"8,838.40","8,665.10","8,838.40","8,561.10",15880000.0,2.00%,HPG
1/17/2020,"8,665.10","8,769.10","8,890.40","8,630.50",17590000.0,-1.19%,HPG
1/16/2020,"8,769.10","8,665.10","8,786.40","8,647.80",19060000.0,0.60%,HPG
1/15/2020,"8,717.10","8,682.40","8,786.40","8,630.50",16350000.0,0.60%,HPG
